customer_id,name,email,signup_date,city,state,total_spent,order_count
1,Anita Rastogi,vamakshi25@example.com,2026-01-22,Saiha,Mizoram,225175.87,1
2,Oeshi Mann,qabilgala@example.com,2026-02-04,Udaipur,Rajasthan,0.0,0
3,Warda Merchant,ekanshkarnik@example.com,2026-02-15,Indore,Madhya Pradesh,0.0,1
4,Mason Bobal,ngarde@example.org,2026-02-07,Thoubal,Manipur,0.0,0
5,Tara Rama,fchana@example.com,2026-01-27,Solan,Himachal Pradesh,0.0,0
6,Neel Sahota,ekani05@example.org,2026-02-17,Tura,Meghalaya,0.0,0
7,Eesha Memon,yash88@example.net,2026-01-30,Visakhapatnam,Andhra Pradesh,16110.68,1
8,Eshana Balan,praneel83@example.org,2026-02-08,Imphal,Manipur,133739.17,1
9,Amaira Naidu,revahayer@example.com,2026-01-22,Haridwar,Uttarakhand,380219.89,2
10,Bhavini Sahni,suhanidass@example.org,2026-01-23,Jabalpur,Madhya Pradesh,0.0,0
11,Arunima Gole,hiral79@example.net,2026-01-29,Faridabad,Haryana,42493.61,1
12,Ranveer Kamdar,gavin22@example.net,2026-02-14,Nizamabad,Telangana,0.0,0
13,Anmol Palla,elijah69@example.org,2026-02-10,Coimbatore,Tamil Nadu,356249.61,1
14,Upkaar Dhingra,nicholasbumb@example.com,2026-02-18,Itanagar,Arunachal Pradesh,252291.76,2
15,Sanya Yadav,bhavikavasa@example.net,2026-01-28,Solan,Himachal Pradesh,0.0,0
16,William Bajaj,gsood@example.net,2026-02-17,Gangtok,Sikkim,0.0,1
17,Omisha Srinivas,girikpanchal@example.net,2026-02-16,Haldwani,Uttarakhand,0.0,0
18,Lila Kala,damyanti00@example.org,2026-02-18,Shillong,Meghalaya,51770.71,1
19,Triveni Narayan,zilmilchada@example.net,2026-01-24,Haldwani,Uttarakhand,179819.5,1
20,Edhitha Gala,tailorkamya@example.org,2026-01-22,Solan,Himachal Pradesh,136848.0,1
21,Yug Borra,jbains@example.com,2026-01-24,Aizawl,Mizoram,213166.12,1
22,Janaki Chaudhuri,vsawhney@example.net,2026-02-17,Dimapur,Nagaland,198440.61,2
23,Januja Bala,vasatikabasu@example.org,2026-02-02,Aizawl,Mizoram,0.0,0
24,Krisha Bhavsar,avi11@example.com,2026-02-15,Panipat,Haryana,0.0,0
